ZIP,POP,P0_44,P45_64,P65_,PER65,MEDINC,PERNOINS,PERW,PERHIS,PERBLK,PERASN,PERAUTO,PERTRAN,PERPEDB,PERTELE,PEROFFTC,PERHSRV,PERPSRV,PERFOOD,PERCLEAN,FDTRTPER,WS_5,POPDENS,PERCROWD,CASE4_16,TEST4_16,CASER4_16,TESTR4_16,POSRATE4_16
60634,75995,44068,20510,11417,0.150234,66741,0.113767,0.540299,0.382459,0.017593,0.053188,0.834355,0.104676,0.023809,0.021827,0.43501,0.038703,0.03829,0.050692,0.069077,0.055556,42.707001,0.00412513,0.0356039,342,1764,4.500296072,23.21205342,0.193877551
60636,32203,18108,7901,6194,0.192342,27310,0.105795,0.010496,0.076763,0.898395,0.000404,0.642366,0.278293,0.028702,0.037106,0.347243,0.09389,0.0429,0.073238,0.067383,0.6,29.764942,0.003178208,0.03863919,224,587,6.955873676,18.22811539,0.381601363
60637,47454,31750,10241,5463,0.115122,28785,0.071315,0.144519,0.028259,0.757597,0.044865,0.416595,0.33769,0.173098,0.057761,0.473026,0.059843,0.046564,0.048767,0.047993,0.217391,27.747059,0.004045642,0.03506913,229,1056,4.825725966,22.25312935,0.216856061
60638,58797,35382,15176,8239,0.140126,67984,0.086705,0.4356,0.517713,0.029491,0.005391,0.831466,0.126632,0.023596,0.01361,0.399755,0.024453,0.070004,0.049699,0.057453,0.333333,28.165165,0.002044052,0.03282155,217,984,3.69066449,16.73554773,0.220528455
60639,90517,61295,21085,8137,0.089895,44150,0.185561,0.067435,0.779279,0.129114,0.015213,0.73201,0.180192,0.042848,0.020287,0.332179,0.035223,0.024524,0.081867,0.076673,0,54.092701,0.007165216,0.08001728,485,1324,5.358109526,14.62708662,0.366314199
60640,69715,43449,17279,8987,0.128911,53831,0.096158,0.553023,0.142566,0.165875,0.1087,0.393921,0.450625,0.07222,0.066567,0.553672,0.026219,0.008973,0.070966,0.028614,0,48.30502,0.011158883,0.04015285,260,899,3.729469985,12.89535968,0.289210234
60641,71023,44539,18579,7905,0.111302,60073,0.157202,0.366191,0.539966,0.01905,0.045267,0.703483,0.209947,0.028505,0.041595,0.436694,0.029575,0.021422,0.077267,0.05915,0.157895,54.821412,0.006784726,0.04296542,254,993,3.576306267,13.98138631,0.255790534
60642,20201,15675,3204,1322,0.065442,101939,0.062373,0.600267,0.201673,0.101233,0.069799,0.422813,0.383198,0.103123,0.066279,0.687347,0.004091,0.004159,0.044178,0.00525,0,61.557222,0.004718377,0.02471421,38,284,1.881094995,14.05870996,0.133802817
60643,49870,26061,14656,9153,0.183537,64477,0.057116,0.203289,0.033066,0.733367,0.003629,0.712053,0.210979,0.019437,0.050547,0.458123,0.034929,0.075378,0.043828,0.039545,0.428571,3.54754,0.002620725,0.00859423,325,1022,6.516944055,20.49328253,0.318003914
60644,47712,30008,11503,6201,0.129967,27262,0.137841,0.029175,0.064302,0.895184,0.001886,0.554639,0.374039,0.035413,0.020218,0.36396,0.110004,0.055334,0.067355,0.059925,0.75,63.188382,0.00525771,0.05372953,349,1000,7.314721663,20.95908786,0.349
