STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/22/28,0.01,38,25
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/23/28,0,43,24
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/24/28,0,42,24
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/25/28,0,28,19
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/26/28,0,42,19
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/27/28,0.02,46,30
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/28/28,0.01,42,34
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/29/28,0.17,44,37
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",11/30/28,0.21,45,29
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/1/28,0,34,27
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/2/28,0.08,48,31
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/3/28,0,44,30
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/4/28,0.09,31,15
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/5/28,0,19,8
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/6/28,0,29,15
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/7/28,0.01,26,17
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/8/28,0,29,16
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/9/28,0,38,17
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/11/28,0,50,27
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/12/28,0.17,45,38
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/13/28,1.24,48,41
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/14/28,0,48,44
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/15/28,0,46,44
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/16/28,0.47,46,43
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/17/28,0.44,43,24
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/18/28,0,34,21
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/19/28,0,33,19
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/20/28,0.01,25,3
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/21/28,0.01,13,0
